Requirement,Prediction,Type
mechanism generation link assurance signal shall specified,NFR,O
weight operational radio including battery exceed 800g electrical,NFR,O
tc software shall capable hosted variety computer operating system organic various service,NFR,O
tc software shall defense information infrastructure common operating environment compliant,NFR,O
distributed telescope system many instrument gemini 8m telescope system internal communication need,NFR,O
gemini system software designed following constraint,NFR,O
modified,NFR,O
testability shall considered design development tc,NFR,O
message passing communication primitive shall provided tasktotask communication well broadcast processor,NFR,O
gemini 8m telescope software developed according structured formally denied development model purpose,NFR,O
n shall configured automatically enter sync microcode following power,NFR,O
av telemetry data shall available support tc function required,NFR,O
make file automated script support build download flash programming process shall delivered software nasa,NFR,O
entrain mobile shall provide standardized interface ertmsetcs,NFR,O
direct mode equipment shall capable operation channel defined table 151,NFR,O
system support ssl encrypted connection,NFR,O
flight hardware shall fabricated using radiation hardened ardor radiation tolerant component,NFR,O
numbering team shall treated way maintenance team 9242,NFR,O
system must support multiple type communication service remote access,NFR,O
using one traction unit function shall disabled leading traction unit,NFR,O
deleted deleted deleted deleted,NFR,O
meet growth requirement tc shall capable adding additional storage without major hardware reconfiguration,NFR,O
mobile support service defined relevant gsm specification service mainly used,NFR,O
location information may provided system external radio system example ground based system track circuit,NFR,O
shall possible perform voted venus reset via n,NFR,O
controller equipment must designed function correctly railway operating environment control center signal box,NFR,O
flight n shall designed electromagnetically compatible redstone power pc 604r,NFR,O
system shall utilize interchangeable plugins,NFR,O
system shall operate within window xp professional operating system,NFR,O
whilst ongoing multidrivers indication shall displayed permanently cab radio,NFR,O
ftse object module linked application four fcs shall identical,NFR,O
tc shall provide capability capture frozen frame imagery store frozen image review processing,NFR,O
application shall run web application server,NFR,O
shunting mode implemented link assurance tone shall provided via loudspeaker direct mode,NFR,O
tc shall provide tape drive storage retrieval tc data,NFR,O
tc shall capable interoperable predator outrider uavs across 5 level uav interaction,NFR,O
tc shall receive process present payload data operator status payload determined sss151,NFR,O
tc transportation theater army marine corp system shall ground air well rail transportable,NFR,O
tc shall capable executing payload maintenance software displaying appropriate status result,NFR,O
system designed near architecture presentation logic separated business logic separated data access logic,NFR,O
continuous tone coded squelch system shall implemented direct mode equipment,NFR,O
tc shall use standard military worldwide 110220 volt 5060 hertz generator commercial power source,NFR,O
priority call handling facility shall provided performance requirement defined section 34 102 met runtime diagnostics,NFR,O
faulttolerant system service software shall use work version 54 operating system,NFR,O
gemini supported software developed using formally denied model wardmellor approach developing realtime system used cover,NFR,O
line fitted rbc etc train borne equipment shall able transmit location entire train rbc,NFR,O
operational radio shall capable withstanding exposure extreme environmental condition,NFR,O
etc train borne equipment shall capable receiving information national train control system mean stm,NFR,O
prototype n use convection cooling,NFR,O
etc onboard shall capable receiving national value trackside adapt national requirement,NFR,O
current train data shall stored except transition shunting etc equipment traction unit operative,NFR,O
standardized output interface shall enable transmission information recorded medium investigation,NFR,O
system initialization shall initiate execution ftse x38 application code,NFR,O
maintenance product fall within established corporate maintenance window,NFR,O
cab radio shall able receive display store incoming short text message see section 12,NFR,O
platform browser independent client,NFR,O
ix automatic network selection suitable use area risk cab radio change foreign network unpredictably,NFR,O
weight general purpose radio including battery exceed 250g electrical,NFR,O
subsection function provided cab radio described,NFR,O
data terminal control shall include limited antenna pointing control transmitter control receiver control,NFR,O
tc shall able store 24 hour payload data external storage utilized purpose,NFR,O
user workstation shall meet minimum software requirement prior implementation,NFR,O
access control electronics hardware vme ion using epic software control interface permitted,NFR,O
iv pushtotalk function shall provided use group call,NFR,O
using one traction unit function shall disabled leading traction unit,NFR,O
general purpose radio suitable use car adapter kit,NFR,O
operational radio suitable use car adapter kit,NFR,O
tc shall support los data link sitcom data link capability,NFR,O
system shall extremely portable via usb drive,NFR,O
shall possible use tandem traction unit without isolating etc train borne equipment tandem traction unit,NFR,O
general purpose radio suitable use car adapter kit,NFR,O
system designed near architecture presentation logic separated business logic separated data access logic,NFR,O
logical architecture comprises number interface different arena element,NFR,O
functional number deregistration facility shall supported arena user equipment,NFR,O
system shall support multiparty voice communication six different party,NFR,O
product shall available distribution packaged cd,NFR,O
scope fair shall limited hardware four fcp board four cpctc board five icp five n,NFR,O
ftse shall provide status data application ccnucc rs422 link ctc used command data,NFR,O
tc shall provide adequate capability allow operator operate uav within certified operational flight envelope,NFR,O
train shall supervised static dynamic train speed profile,NFR,O
country train number alphanumeric support number required interoperability,NFR,O
upon request driver cab radio able perform suite run time diagnostic test physical interface,NFR,O
system shall interface campus connects central server,NFR,O
interactive courseware training capability tc shall developed phase introduced user scheduled demonstration test,NFR,O
prototype n shall fabricated using commercial grade component,NFR,O
tc shall maintained accordance service approved uav maintenance concept procedure,NFR,O
etc train borne equipment shall capable isolated,NFR,O
product shall available distribution via internet binary zip file,NFR,O
unsynchronized processor shall excluded fcp configuration,NFR,O
system shall provide open interface change management control system like bugzilla serena change man dimension,NFR,O
product shall interface choice part system per day approximately 1,NFR,O
shall mode operation shutdown state,NFR,O
applicable av via selected system data link well direct ground connection,NFR,O
interaction protocol web server mediator defined,NFR,O
recovery tc shall include startup download software startup csis establishment state readiness interface,NFR,O
character set used shall support different language,NFR,O
system hardware shall fixed patched via internet connection,NFR,O
weight operational radio including battery exceed 800g electrical,NFR,O
tc shall functionality connect power supply equipment provided tc operating environment,NFR,O
cab radio required provide communication ertmsetcs,NFR,O
documentation shall contain sufficient technical detail define hardware software design implemented satisfy system requirement,NFR,O
interaction protocol web server mediator defined,NFR,O
technical lead shall perform code review every system change change may committed source control,NFR,O
functional requirement relating controller equipment specification found arena functional requirement specification,NFR,O
tc shall capability simultaneously control monitor lineofsight well los data terminal,NFR,O
