Requirement,Prediction,Type
The user must be able to change his or her profile and save the changes,NFR,US
The system shall store the list of project portfolios in the permanent storage.,F,O
Subtask has the same properties as a task.,F,SE
The system shall provide the open interface to the payroll system.,NFR,O
"All system messages, texts, log entries and help documentation must be in
English.",NFR,US
The Mean Time Between Failures (MTBF) must be at least 300 hours.,NFR,PE
The system shall implement Role based access control model.,NFR,O
"The system shall provide a mechanism of user authentication to unambiguously
identify a user.",NFR,SE
The first 6 month of system’s usage are covered with warranty.,NFR,US
"Program instructions should easy to understand, abstract but clear.",NFR,LF
Avoid program confusion.,NFR,PE
Creation and editing of 2D floor plans for one building floor using straight lines only,F,LF
Creation and editing of entities,F,SE
Creation and editing of constraints,F,O
"A user interface encompassing the floor plan, entities, and constraints",F,LF
The ability to manually edit entities assigned rooms,F,US
The ability to manually assign room names,F,US
The ability to save and load Space Allocation data,F,O
"Automatically edit rooms and assign entities based upon the constraints, entities, and the floor
plan",F,US
Runs on Microsoft Windows XP,NFR,O
"Allow quick, precise, understandable, and easily accessible editing of in-program data",NFR,US
"Provide a accessible and usable User Interface to someone who is has basic computer
knowledge",NFR,US
Has a data representation that allows AI algorithms to propose a optimised floor plan,F,LF
To provide extensive documentation for both a user and a systems developer,NFR,O
Have a clean object oriented design allowing good maintainability,NFR,O
Host multiple games simultaneously,F,PE
Users able to playing more than one game at a time,F,US
Individual profiles for each user,F,US
Track the history of a game (such as orders and messages),F,US
"Handle the creation, continuation and ending of a game",F,US
Implement the 2000 rule book rules,F,O
Handle paradoxes (both solvable and unsolvable) gracefully,F,LF
Validate an order without knowledge of other orders,NFR,US
Allow controlled communication (negotiation) between players,F,SE
Accessible to users on the internet with just a web browser,NFR,SE
Platform and browser independent client,NFR,O
Server works with Apache Tomcat and MySQL Database,NFR,O
"Easy to use interface for a Diplomacy novice, one that is useable and visually attractive",NFR,US
Designed to replace the old mailing system of game play,F,LF
"Have an open format for data storage and interaction, allows easy extension by third parties",NFR,O
The system shall be completely operational at least x% of the time.,NFR,A
Down time after a failure shall not exceed x hours.,NFR,PE
The system should be able to support x simultaneous users.,NFR,SC
Transaction data must be transmitted in encrypted form.,NFR,SE
The system should be able to accommodate new products and product lines without major reengineering.,NFR,SC
This help page should be accessible from all other pages.,NFR,US
A language translation tool from English to French and English to German will be needed.,NFR,O
A web site search engine will be needed.,NFR,O
providing customers and sales agents fast access to up-to-date and accurate product information and whitepapers.,NFR,SE
User should be able to mail any report to management.,NFR,US
Software is developed keeping downward compatibility intact.,NFR,O
