Requirement,Prediction,Type
Output pretty-printed text files and SDTs shall only be displayed when the user requests.,NFR,SE
The main interface shall be menu driven. ,NFR,LF
A summary of the menus available is given below in Table 5.,F,US
The Application menu shall contain items related to manipulating entire applications.,F,US
The Configure menu shall contain items related to modifying the configuration of the application.,F,US
The Run menu shall contain items related to executing the HATS-SML programs.,F,O
The View menu shall contain items related to viewing HATS-SML output.,F,US
The editor shall be started according to information in the application configuration.,F,O
The File/Delete menu item shall provide an interface for deleting a selected file. ,F,O
The HATS-GUI shall prompt the user to confirm deletion prior to completing this action.,F,US
The File/Exit menu item shall provide an interface for exiting the HATS-GUI.,F,O
The Application/Select menu item shall provide an interface for selecting and opening an application.,F,LF
The Application/Close menu item shall provide an interface for closing an application.,F,LF
The Application/Save menu item shall provide an interface for saving application configuration information.,F,LF
The HATS-GUI shall prompt the user to confirm deletion prior to completing this action.,F,US
This information shall be used when editors are started as processes.,NFR,US
The Configure/Node Display menu item shall provide an interface for configuring the display of nodes.,F,LF
"At a minimum, the system shall provide two shapes, rectangles and ellipses, for displayed nodes.",F,LF
The Run/Generate Parser menu item shall provide an interface for generating a parser program.,F,O
The Run/Parse Target menu item shall provide an interface for selecting and parsing target programs.,F,US
The View/Text menu item shall provide an interface for viewing and searching pretty-printed text. ,F,LF
The HATS-SML programs and their command line arguments are described in Appendix D.,NFR,O
"The HATS-GUI shall be able to communicate with Sun Solaris, Linux, and Windows 2000.",NFR,O
The user shall be able to initiate processes from an interface provided by the HATS-GUI. ,NFR,US
The HATS-GUI shall optionally pass command line arguments to the process.,F,O
Command sequences for initiating processes are part of the application configuration.,F,O
The HATS-GUI shall interact with the HOST OS to compare time stamps for files. ,F,O
Time stamps indicate the date and time of the most recent update to a file.,F,LF
These time stamps must be reported with a precision of one second or less.,NFR,PE
All files associated with a given application shall be stored in one directory.,NFR,O
The directory in which application files are stored shall be named with the application name.,F,SE
This file shall be written in ML and have the file extension .lib.,NFR,O
The HATS-GUI shall suggest the same file name for files copied to a different directory.,F,LF
The system shall open a new window when the user selects to display output.,F,PE
Display windows opened by the system shall have buttons for closing the windows.,F,LF
A navigation window shall be available. Navigation windows are discussed in section 3.2.3.3.4.,NFR,O
The keyboard cursor shall be movable by the arrow keys.,F,LF
This file becomes the currently selected file.,F,PE
"If the user confirms, the currently selected file shall be deleted.",F,FT
No file shall be currently selected at the end of this operation.,NFR,PE
"If the user does not agree, the configuration shall not be saved.",NFR,FT
This application becomes the currently selected application.,NFR,US
No application is currently selected at the end of this operation.,NFR,US
"If the user agrees, the configuration shall be saved. ",F,FT
"If the user does not agree, the configuration shall not be saved.",NFR,FT
No application is currently selected at the end of this operation.,NFR,US
 The GUI shall allow the user to import a file into the selected application. ,F,O
Importing a file consists of copying the file into the application directory.,NFR,O
The HATS-GUI shall allow the user to continue working while transformations are taking place. ,NFR,PE
The HATS-GUI shall allow the user to execute a script file. ,F,O
A script file shall contain a linear sequence of HATS-SML programs.,NFR,O
The HATS-GUI shall allow a user to select output files in the application to display.,F,LF
Selected displayed nodes shall be indicated visually.,F,LF
The following methods shall be used to select displayed nodes.,F,US
A single node shall be selected by right-clicking the mouse cursor on the node.,NFR,US
The HATS-GUI shall provide for the manipulation and display of SDTs.,NFR,O
All displayed children of a single node shall appear at the same height.,NFR,LF
The user shall be able to collapse displayed nodes. ,F,US
The user shall be able to hide a set of selected displayed nodes. ,F,US
All displayed nodes hidden before the most recent unhide instruction shall become hidden.,NFR,SE
The number of levels expanded is set in the application configuration.,F,O
The user shall be able to view multiple SDTs simultaneously.,NFR,US
The pointing-device cursor shall track the motion of the pointing device. ,F,LF
The user shall be able to turn the navigation window on and off.,F,US
The HATS-GUI shall search the SDT for a matching pattern.,F,US
The HATS-GUI shall provide for repeating a search. ,F,US
The HATS-GUI shall provide for repeating a search in the reverse direction. ,F,PE
"Searching in the reverse direction continues right-to-left, bottom-to-top.",F,LF
The user shall be prompted to enter a text string describing a string pattern.,F,US
The HATS-GUI shall search the text for a matching pattern. ,F,US
" If no matches are found, the HATS-GUI shall display a message stating “No Match Found.”",F,LF
The user shall be able to select pretty-printed text files to display.,F,US
Selected pretty-printed text shall be displayed in a separate window.,F,O
The HATS-GUI shall not halt as a result of any error messages received from HATS-SML.,NFR,FT
