Requirement,Prediction,Type
api must support sword protocol,NFR,O
system must support drag drop functionality layout design elements,NFR,O
administrator user role management system provide feature,NFR,O
ability integrate data packaged data spss,NFR,O
system allow repository manager input save metadata fields needed,NFR,O
system able export data packages stata real time,NFR,O
system able update broker resources,NFR,O
system must able handle simultaneous updates multiple files removal dates without significant degradation performance,NFR,O
ability store metadata multiple languages,NFR,O
system alfred unit easy use,NFR,O
system must able handle attachment metadata minimal impact overall performance,NFR,O
system must preserve hierarchical structure formatting data types hierarchy translation,NFR,O
system must ensure data usable future,NFR,O
selected dataset type code must included app artifact,NFR,O
system must support installation neurohub dependencies using ubuntu package management tools,NFR,O
system must allow planning storage systems based data sensitivity,NFR,O
user interface associating instances containers must provided,NFR,O
system must host spreadsheet within neurohub web page,NFR,O
system must allow storing data packages directly github,NFR,O
system allow tracking issues,NFR,O
system perform validation checks efficiently,NFR,O
system shall display fundingagencycode,NFR,O
application must function correctly firefox,NFR,O
system must validate duns records actiontype    ,NFR,O
system must allow publishers visualize data data package,NFR,O
alfred system able control lighting devices,NFR,O
uploaded ead file must validated imported,NFR,O
support working latest available data updating data package,NFR,O
system must integrate social media platforms,NFR,O
system must store maintain security requirements data,NFR,O
system support interaction alfred device,NFR,O
automatic data format conversion required system,NFR,O
system must support integration tools,NFR,O
support theming web interface graphics colours,NFR,O
configuration pre packaged within built version application,NFR,O
make accessible curator dashboard,NFR,O
system shall provide mechanisms implementing multiple interfaces single dataset type,NFR,O
user profile updates stored database,NFR,O
option custom configuration built version application must exist,NFR,O
system shall able integrate https data mendeley com,NFR,O
system must able handle multiple instances fedora including hidden instance used emory,NFR,O
support ldap authentication,NFR,O
system must support integration eprints,NFR,O
system must provide visual representations index cards archivists view,NFR,O
system shall support oai pmh protocol,NFR,O
system must support maintenance data storage,NFR,O
system must able perform local authentication,NFR,O
system must able handle large volumes archived data without significant degradation performance,NFR,O
system must able extract display description data collected,NFR,O
system must able handle removal holds without significant impact overall performance,NFR,O
apps able create utilize instances deployed dataset types,NFR,O
system must provide special client support customer,NFR,O
system shall support importing multiple stories single spreadsheet file batch process,NFR,O
system must support searching using tags,NFR,O
system must handle sql schema strings length without degradation performance,NFR,O
system must able access use data stored database,NFR,O
system able store manage different user defined roles,NFR,O
system support conversion uploaded files required formats,NFR,O
csv file downloaded user must contain data used current visualisation,NFR,O
software must support integration jquery plugin core data packages,NFR,O
system integrates alfred assuming alfred existing system,NFR,O
ability configure grant record filtering usaspending api interface required,NFR,O
dataset stored github system shall automatically retrieve populate associated descriptive metadata,NFR,O
system must able process appeals,NFR,O
api must accessible website,NFR,O
system allow reusability extracted description external applications documents,NFR,O
system support defining experiments later stage,NFR,O
system allow dois added necessary,NFR,O
wysiwyg editor support updating long form content,NFR,O
system store external descriptions database,NFR,O
system must able install neurohub dependencies ubuntu lts machine,NFR,O
system offer customer support sales,NFR,O
support bespoke custom metadata fields,NFR,O
version management datasets must supported,NFR,O
system must able integrate cris,NFR,O
dataset instance must explorable apps,NFR,O
system enable changes made existing applications,NFR,O
platform must support variety text based formats,NFR,O
system must able export set records associated files,NFR,O
ability automate neurohub installation,NFR,O
system must support import export data files netcdf format,NFR,O
system must install default software packages automatically,NFR,O
system must support wide range devices varying hardware specifications ensure seamless operation across multiple platforms,NFR,O
system support direct integration stata,NFR,O
system shall provide group level repository storing sharing research documents,NFR,O
system must support real time updates experimental protocol data without requiring manual page reloads,NFR,O
software must support automatic contrast adjustment scanned files,NFR,O
provide step step instructions switching prototype fisma low hosting plan,NFR,O
second method must support estimation values using powers etc,NFR,O
system must allow researchers create manage user research protocols,NFR,O
system must able inject implementation runtime,NFR,O
system must able preserve maintain permanent digital archives,NFR,O
system shall support derivation logic popocodes values forgn,NFR,O
display user documentation within web application,NFR,O
system must enable using packaged data analysis,NFR,O
system must able load historical fpds data,NFR,O
system must support backend changes functionality,NFR,O
integration alfred system,NFR,O
system must provide option replicating remotely,NFR,O
system shall support hdf integration,NFR,O
user must able export transcript csv file,NFR,O
system must able handle concurrent access dataset management feature without compromising performance,NFR,O
system must support addition storage large amounts custom metadata fields without compromising overall system performance,NFR,O
system able provide information type data stored,NFR,O
system must support fixing bugs making enhancements api,NFR,O
system must integrate open refine,NFR,O
system shall provide api called alfred,NFR,O
system must able support implementation upgrade step dataset instances upgraded new version dataset type,NFR,O
software must allow publishers embed interactive preview data website,NFR,O
support multiple types health sensors,NFR,O
system must support custom branding options embedded viewer,NFR,O
system must provide link button access rss feed,NFR,O
system must ensure downloaded data packages compatible users scripts systems,NFR,O
system must validate input data format compatible mapping,NFR,O
api functionality must implementable ios application,NFR,O
system must able handle concurrent connections multiple external coordinators without compromising performance,NFR,O
system must administrative interface setting managing subdomains,NFR,O
system shall automatically update existing dataset instances use newly deployed version accessed deployment,NFR,O
system must able handle file uploads larger gb,NFR,O
frontend application must feature upload ead file,NFR,O
system must support multiple types electronic devices     desktop laptop tablet smartphone,NFR,O
system support file downloads web,NFR,O
system read data fpds,NFR,O
system must able connect user data repository,NFR,O
display whether built fedora event audit services available,NFR,O
integration operating system installation process,NFR,O
system must support loading datasets varying sizes without significant degradation performance,NFR,O
system include functionality generating csv file data used visualisations,NFR,O
system support searching without requiring metadata,NFR,O
application must function correctly internet explorer,NFR,O
system shall provide stable access preserved material,NFR,O
system must able process store metadata multiple experiments concurrently without significant degradation performance,NFR,O
integration spss pipeline,NFR,O
system must download function search results page,NFR,O
system must allow developers design apps independently,NFR,O
system must allow creating high quality digital scans images documents,NFR,O
system must able import extracted metadata data catalogue,NFR,O
system must ability migrate data,NFR,O
api must provide necessary data implementing certain features,NFR,O
system must simple web interface,NFR,O
system provide option directly access imported data analysis visualization,NFR,O
system must allow users import data without requiring conversion data formats,NFR,O
system must display twitter tweets within neurohub platform,NFR,O
system must allow performing custom administrative operations dataset instances ui,NFR,O
system provide access olderpeople use alfred,NFR,O
test file must able derive fields fabs robust manner,NFR,O
software must accessible mobile device,NFR,O
system must support integration active directory user authentication,NFR,O
provide interface access fedora event audit services information,NFR,O
system must integrated wormbase,NFR,O
system shall integrate network file share     network drive,NFR,O
system allow better logging capabilities,NFR,O
integrate functionality snapshot serengeti platform,NFR,O
system shall allow deposit maintenance datasets virtual research environments,NFR,O
functionality accessible repository support team member,NFR,O
support unit testing app development environment,NFR,O
